411,1498,8822,136581,1121,8282,2018,41985,0,0
1299,3017,15150,526576,4040,7661,2601,76168,0,0
1284,5467,9144,210116,3648,3124,9067,151277,0,0
5222,15154,69031,796050,11801,56864,22818,511552,0,0
13624,57826,206498,3484361,58717,178006,39469,1830446,41,47
14934,40763,112923,1638280,29422,58289,16292,919204,44,53
1522,2314,12279,587920,2735,2421,3396,40789,64,67
345,2507,3557,378025,697,6107,1255,26061,56,84
5345,5551,4925,647463,2339,11617,3975,116105,43,81
10897,27004,42619,1864834,10964,13025,49209,239226,53,81
792,951,897,46841,460,5324,903,15389,29,83
629,1037,6928,73071,2047,4896,1195,35046,56,80
4369,8113,8989,845101,4588,29180,3970,165727,64,87
2296,7534,9615,903249,1853,10329,3208,150022,34,81
3434,5724,13605,1309345,7493,81788,3898,69173,54,88
3001,7325,13573,1853297,7818,87322,17689,90820,54,93
3245,4115,1902,422517,4920,24977,6508,64543,81,93
8855,3660,24100,1462273,47268,42881,21716,232276,100,96
1660,2733,3521,415357,10676,14208,3136,167742,100,67
5834,4740,12890,228076,6361,1693,7835,57649,100,51
4390,4325,17869,972365,12043,4250,3558,137030,97,40
2713,3399,2883,552167,6250,2236,10859,148217,77,16
3027,2207,12788,528055,7959,17716,1460,41368,88,38
3297,2854,3899,274735,7341,3443,2237,71017,90,30
2122,1345,4776,299191,16087,7175,11956,139651,94,23
559,276,1586,67391,493,2671,1972,10534,91,53
17059,7834,40361,775470,15964,11619,40121,45661,96,50
3410,1377,4279,54260,6512,5665,6677,16999,100,64
2142,1582,3542,174871,9473,10099,10721,37916,100,78
23769,9465,17788,445785,27052,23988,16142,104348,100,75
28175,7849,12385,51728,16363,56983,20437,61354,100,80
2147,1420,4454,318847,2887,21580,15125,24686,100,87
975,448,994,297658,1601,9810,4369,17088,87,94
6968,3734,22655,533827,15422,33924,12733,29010,87,100
8391,6332,4333,34005,41052,40204,28286,26356,93,100
16115,4001,30304,13878,44236,13217,25929,27379,100,100
6382,2027,22113,48944,11876,22442,59641,73706,100,96
6960,3491,9891,20155,60272,8806,5851,30959,100,78
14854,1953,32568,7378,25716,8950,13872,37826,100,80
25192,7236,32491,19459,14888,8670,13028,52971,83,81
14618,2384,14429,18394,11201,25223,22935,74966,80,83
9079,5172,17669,271131,34795,14071,38066,103825,66,83
3671,1762,21714,6943,12495,24065,17539,51172,57,84
3413,2813,54651,66357,13786,7983,22729,45868,56,88
1716,1596,6887,29542,2451,1273,10913,9213,57,88
1655,917,3801,16277,5349,5069,4890,26980,54,90
9560,3905,19499,263051,11549,20456,12495,84852,50,84
5803,2225,20215,2908,14661,19093,15558,31109,54,83
10316,2101,10564,3570,13119,12157,22945,10931,63,87
7878,4448,19663,6204,20839,870,19433,17844,75,91
9415,3956,12923,5675,11841,16012,27526,27156,83,93
13174,2368,17255,10022,15436,5900,8648,39845,84,87
13777,5792,13111,16946,8014,15198,21974,54844,74,81
6634,1584,12501,45170,9589,19011,16339,18703,75,83
5118,1158,8537,88536,3743,4703,4694,42151,70,80
2381,1127,4423,133392,4925,9363,3443,80950,43,81
14177,1932,17374,1396915,7058,10056,21565,270846,24,56
8670,3319,65559,151962,26898,9052,15497,31915,37,70
8409,4762,4426,64379,20928,414,21126,5850,54,53
5740,2969,14091,2519,12911,7226,20727,25613,66,61
4365,4222,10445,26108,15320,14183,31380,14520,88,80
8289,2155,9885,4736,10145,4474,9304,12386,88,70
18303,2527,17063,29957,10450,8572,9350,33933,69,88
5701,3053,4798,3834,6979,37521,4407,10663,63,100
12187,2477,5750,10007,9152,18509,15559,29081,56,97
7818,2863,9938,3521,9448,37348,17287,20091,50,100
8606,5298,12173,5933,5555,13734,9054,11645,47,100
5122,2418,2019,22643,8686,26429,7917,9073,51,100
10654,7337,7806,3649,7634,11761,22482,16375,53,100
3281,2871,14260,3945,8758,10138,11258,9823,57,96
9467,1610,11366,15370,9108,5681,11513,25027,61,88
14207,3852,6081,5498,13973,18980,9980,12346,64,83
4037,5264,17243,74181,10130,25799,4339,25904,61,93
1939,1112,2014,4160,4003,968,1655,1396,70,87
3807,1837,9330,39709,18160,11007,16325,42676,75,83
2382,344,1852,55883,2150,7950,1020,7915,66,84
708,870,3637,4614,1403,1518,3030,8796,63,75
5575,4990,10380,2906,13505,17748,19665,21590,53,77
7864,1780,4516,7804,11066,3174,11780,18525,56,75
6134,3545,9937,6907,10610,8112,5968,19212,63,67
3301,2092,11398,8391,5251,34533,11276,39469,60,75
3198,887,4150,205080,1364,4377,3436,43110,41,64
1811,866,4686,208390,1747,7031,1041,20219,24,75
1196,517,1642,69380,3076,1594,8121,68088,10,50
6152,3800,18354,2071016,17454,4271,29499,380068,7,21
2229,1788,3089,153500,5001,11643,4043,38789,16,27
1202,1336,9597,125753,2786,3627,4558,65087,13,16
26539,6927,124974,1163486,125460,42808,87673,214603,29,40
4262,1120,38060,167861,8469,13917,18766,21376,38,69
2977,3833,10987,383253,11417,12218,26168,58998,41,67
1093,1117,594,86904,2266,3465,2988,13555,51,69
5843,2083,9260,16240,5339,13988,17387,36912,41,69
3393,1952,13005,9854,5612,5082,4397,15643,43,64
5991,1918,5229,3227,11468,7456,6453,16052,51,67
13846,2321,14991,9612,6898,29092,3636,17580,50,88
7448,2769,4810,17746,7182,4441,8237,57777,51,78
1992,1937,16727,14844,6106,10406,10928,11121,51,81
4638,2640,16922,764,14551,950,15155,11771,53,83
3317,9222,8531,6462,16441,6828,8868,27054,64,66
820,520,1434,178805,2377,7418,1782,19095,63,77
3277,2470,5381,9338,7121,2444,7146,39320,63,57
4871,2282,9139,4534,11284,5186,24033,24807,57,51
8911,1485,11679,3535,6009,8677,5749,24485,50,57
2820,3244,6276,8972,12974,3506,4468,9410,64,56
5802,1275,3007,5856,14409,2880,15694,13299,78,56
4409,2257,7550,19714,5142,9013,12771,9845,75,66
6477,3477,11937,9334,7931,13318,10857,18799,78,67
6785,1852,4092,15089,8485,7031,9922,17948,70,66
6751,2396,8861,6549,6992,4492,8303,18061,61,78
4871,881,9525,16166,9892,3179,9482,10581,67,74
5332,2121,14205,6709,3254,6590,6324,20533,60,74
6168,2464,6475,4935,5853,13954,2493,5963,57,90
2533,1696,8249,27753,6942,7222,13247,21899,56,90
363,113,1803,67706,448,2740,2762,2892,29,67
1296,547,3896,34663,3110,2600,2075,21007,29,61
879,931,2047,168923,2099,7568,2143,7512,35,63
6670,2331,8212,6882,9701,11152,4165,9824,51,70
5557,3960,16988,14042,8842,8865,3945,6935,56,93
12309,2930,14198,21265,11944,3635,6271,36146,60,94
4949,2280,41586,26214,7738,6891,5371,23744,60,100
2899,2829,6377,12564,4783,13447,18245,6479,56,96
4425,2303,11079,26444,10225,8163,16939,10804,57,88
782,643,2584,6052,1854,4021,1831,5974,54,94
2229,5610,7646,11420,8975,1562,8268,18442,63,78
9858,2633,13043,17099,11713,4093,8985,9862,69,77
